Name,item,amount,unit,cost/unit,total cost,weight ratio,Notes,Combination 1,C1 Ratio,C1 Amount,,,,,,,,,,,,,,,Name,ingredient,weight,,,measurement,price per kilogram,brewing cost,notes,:Brew Archive,,Notes,,
20.11.22 Alex's Intuitive blend brew 150g pouch,20.11.22 Alex's Intuitive blend brew,150,g,$0.05,$7.66,100.00%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf, Organic Nettle Leaf, Organic Lemon Grass, Fine Lemon Myrtle (Alex's Stock), Hand-picked Lemon Myrtle, Organic Black Assam Tea, Organic Roasted Yerba Mate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew 400g jar,20.11.22 Alex's Intuitive blend brew,400,g,$0.05,$20.43,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew 500g jar,20.11.22 Alex's Intuitive blend brew,500,g,$0.05,$25.54,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,20.11.22 Alex's Intuitive blend brew,75,g,$0.05,$3.83,1.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,mate,13.6,g,$0.05,$0.71,0.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,yiyuan big leaf tea,27.4,g,$0.06,$1.64,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,filtered water,4000,g,$0.00,$0.40,97.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28 kombucha brew,filtered water,726,grams,$0.00,$0.07,92.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28 kombucha brew,certified organic black Ceylon tea,7.8,grams,$0.06,$0.48,0.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28 kombucha brew,certified organic raw cane sugar,53,grams,$0.01,$0.27,6.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,20.11.22 Alex's Intuitive blend brew,51,g,$0.05,$2.60,2.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,filtered water,1748,g,$0.00,$0.17,97.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28 kombucha 1,2022-11-05 kombucha brew,309,g,$0.00,$0.32,40.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28 kombucha 1,2022-11-28 kombucha brew,460,g,$0.00,$0.48,59.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,20.11.22 Alex's Intuitive blend brew,15,g,$0.05,$0.77,1.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,filtered water,826,g,$0.00,$0.08,98.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,20.11.22 Alex's Intuitive blend brew,31,g,$0.05,$1.58,2.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,filtered water,1265,g,$0.00,$0.13,97.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01-2,20.11.22 Alex's Intuitive blend brew,36,g,$0.05,$1.84,2.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01-2,filtered water,1641,g,$0.00,$0.16,97.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,20.11.22 Alex's Intuitive blend brew,34,g,$0.05,$1.74,0.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,filtered water,4000,g,$0.00,$0.40,99.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06,20.11.22 Alex's Intuitive blend brew,10.3,g,$0.05,$0.53,0.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06,filtered water,1416,g,$0.00,$0.14,99.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06-2,20.11.22 Alex's Intuitive blend brew,10.3,g,$0.05,$0.53,0.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06-2,filtered water,1295,g,$0.00,$0.13,99.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06-3,20.11.22 Alex's Intuitive blend brew,44.3,g,$0.05,$2.26,1.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06-3,filtered water,3172,g,$0.00,$0.32,98.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,premium wholemeal bakers flour,57,g,$0.01,$0.34,8.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,unbleached self raising white Certified organic,66,g,$0.01,$0.46,10.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,organic raw cane sugar,18,g,$0.00,$0.09,2.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,Ground cinnamon,2,g,$0.05,$0.11,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,Manning Valley free range egg,54,g,$0.01,$0.52,8.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,Norco organic full cream milk,461,g,$0.01,$2.58,70.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,20.11.22 Alex's Intuitive blend brew,68,g,$0.05,$3.47,2.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,filtered water,2522,g,$0.00,$0.25,97.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09 kombucha brew,filtered water,1591,grams,$0.00,$0.16,91.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09 kombucha brew,certified organic black Ceylon tea,20,grams,$0.06,$1.24,1.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09 kombucha brew,certified organic raw cane sugar,130,grams,$0.01,$0.65,7.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-11,20.11.22 Alex's Intuitive blend brew,50,g,$0.05,$2.55,2.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-11,filtered water,1700,g,$0.00,$0.17,97.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.12.22 Alex's Intuitive blend brew 150g pouch,20.11.22 Alex's Intuitive blend brew,150,g,$0.05,$7.66,100.00%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf, Organic Nettle Leaf, Organic Lemon Grass, Fine Lemon Myrtle (Alex's Stock), Hand-picked Lemon Myrtle, Organic Black Assam Tea, Organic Roasted Yerba Mate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,premium wholemeal bakers flour,60,g,$0.01,$0.36,12.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,unbleached self raising white Certified organic,60,g,$0.01,$0.42,12.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,organic raw cane sugar,31,g,$0.00,$0.15,6.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,Ground cinnamon,1.5,g,$0.05,$0.08,0.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,Manning Valley free range egg,58,g,$0.01,$0.56,12.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,Pauls QLD full cream milk,263,g,$0.00,$0.84,55.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 brew total,2022-12-11,945,g,$0.00,$1.47,60.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 brew cup,2022-12-11,339,g,$0.00,$0.53,85.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 brew cup,bloodwood honey,17,g,$0.02,$0.29,4.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 brew cup,bloodwood honey,40,g,$0.00,$0.13,10.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 brew bottle,filtered water,932,g,$0.00,$0.09,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12 brew total,2022-12-11,606,g,$0.00,$0.94,39.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,20.11.22 Alex's Intuitive blend brew,48,g,$0.05,$2.45,5.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,filtered water,882,g,$0.00,$0.09,94.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13 honey milk chai,Pauls QLD full cream milk,105,g,$0.00,$0.34,26.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13 honey milk chai,turmeric honey,29,grams,$0.06,$1.74,7.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13 honey milk chai,2022-12-13,267,g,$0.00,$0.73,66.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-17,20.11.22 Alex's Intuitive blend brew,148,g,$0.05,$7.56,3.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-17,filtered water,3772,g,$0.00,$0.38,96.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-17-2,mate,30,g,$0.05,$1.56,4.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-17-2,filtered water,664,g,$0.00,$0.07,95.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 kombucha brew,filtered water,400,grams,$0.00,$0.04,93.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 kombucha brew,certified organic black Ceylon tea,5.4,grams,$0.06,$0.33,1.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 kombucha brew,certified organic raw cane sugar,20.8,grams,$0.01,$0.10,4.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 kombucha 1,2022-11-28 kombucha 1,270,g,$0.00,$0.28,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 kombucha 1,2022-12-18 kombucha brew,405,g,$0.00,$0.45,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-21,20.11.22 Alex's Intuitive blend brew,116,g,$0.05,$5.92,3.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-21,filtered water,3678,g,$0.00,$0.37,96.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-21,Rashmi's spice powder,15,g,$0.02,$0.30,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-24,20.11.22 Alex's Intuitive blend brew,136,g,$0.05,$6.95,3.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-24,filtered water,4000,g,$0.00,$0.40,95.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-24,Rashmi's spice powder,20,g,$0.02,$0.40,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-24,mate,22,g,$0.05,$1.14,0.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-24,yiyuan big leaf tea,28,g,$0.06,$1.68,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-25,20.11.22 Alex's Intuitive blend brew,61,g,$0.05,$3.12,3.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-25,filtered water,1743,g,$0.00,$0.17,96.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26,mate,14,g,$0.05,$0.73,0.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26,yiyuan big leaf tea,15,g,$0.06,$0.90,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26,20.11.22 Alex's Intuitive blend brew,41,g,$0.05,$2.09,1.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26,filtered water,2051,g,$0.00,$0.21,96.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,20.11.22 Alex's Intuitive blend brew,96,g,$0.05,$4.90,2.45%,reduced to 3391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,rain water,3819,g,$0.00,$0.38,97.55%,reduction of: 524,$1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,20.11.22 Alex's Intuitive blend brew,40,g,$0.05,$2.04,1.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,yiyuan big leaf tea,5,g,$0.06,$0.30,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,mate,12,g,$0.05,$0.62,0.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,filtered water,3200,g,$0.00,$0.32,98.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,20.11.22 Alex's Intuitive blend brew,49,g,$0.05,$2.50,1.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,yiyuan big leaf tea,10,g,$0.06,$0.60,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,mate,13,g,$0.05,$0.68,0.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,filtered water,3400,g,$0.00,$0.34,97.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,2022-01-03,2600,g,$0.00,$3.08,94.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,turmeric honey,144,g,$0.06,$8.64,5.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04-2,20.11.22 Alex's Intuitive blend brew,78,g,$0.05,$3.98,2.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04-2,yiyuan big leaf tea,14,g,$0.06,$0.84,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04-2,mate,25,g,$0.05,$1.30,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04-2,Rashmi's spice powder,13,g,$0.02,$0.26,0.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04-2,filtered water,3300,g,$0.00,$0.33,94.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04-2,turmeric honey,72,g,$0.06,$4.32,2.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04 gift to rashmi,20.11.22 Alex's Intuitive blend brew,57,g,$0.05,$2.91,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-05,2022-12-30 Roasted Dandelion blend,55,g,$0.05,$2.59,3.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-05,filtered water,1641,g,$0.00,$0.16,96.76%,reduced to 1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Roasted Dandelion Root,394,g,$0.07,$27.54,18.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Black Assam Tea,337,g,$0.05,$15.50,15.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Ceylon Cinnamon Chips,152,g,$0.05,$6.84,6.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Fenugreek Seed,117,g,$0.03,$3.28,5.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Cut Star Anise,70,g,$0.06,$3.99,3.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Roasted Yerba Mate,185,g,$0.03,$6.31,8.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Rama Tulsi,112,g,$0.03,$3.82,5.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Ginger Root,167,g,$0.03,$5.61,7.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Cardamom Pods,101,g,$0.12,$11.68,4.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Lemon Grass,105,g,$0.03,$2.63,4.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Nettle Leaf,99,g,$0.04,$3.96,4.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Moringa Leaf,103,g,$0.04,$4.22,4.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Lemon Myrtle Leaf,45,g,$0.07,$2.97,2.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 Roasted Dandelion blend,Organic Cacao Nibs,192,g,$0.02,$4.22,8.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Dandelion Root,440,g,$0.04,$18.70,32.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Ceylon Cinnamon Chips,200,g,$0.05,$9.00,14.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Cut Star Anise,50,g,$0.06,$2.85,3.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Cardamom Pods,86,g,$0.12,$9.94,6.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Moringa Leaf,75,g,$0.04,$3.08,5.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Nettle Leaf,95,g,$0.04,$3.80,7.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Lemon Grass,153,g,$0.03,$3.83,11.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Vana Tulsi,131,g,$0.03,$4.47,9.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Lemon Myrtle Leaf,60,g,$0.07,$3.96,4.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30 No Caffeine blend,Organic Ginger Root,48,g,$0.03,$1.61,3.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-7 No Caffeine brew,2022-12-30 No Caffeine blend,11.6,g,$0.05,$0.53,2.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-7 No Caffeine brew,filtered water,421,g,$0.00,$0.04,97.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-7 Roasted Dandelion brew,2022-12-30 Roasted Dandelion blend,89,g,$0.05,$4.19,2.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-7 Roasted Dandelion brew,filtered water,4000,g,$0.00,$0.40,97.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-7 Roasted Dandelion brew 2,2022-12-30 Roasted Dandelion blend,45,g,$0.05,$2.12,2.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-7 Roasted Dandelion brew 2,filtered water,1673,g,$0.00,$0.17,97.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-8 Roasted Dandelion brew,2022-12-30 Roasted Dandelion blend,75,g,$0.05,$3.53,2.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-8 Roasted Dandelion brew,filtered water,3000,g,$0.00,$0.30,97.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-9 Roasted Dandelion brew,2022-12-30 Roasted Dandelion blend,40,g,$0.05,$1.88,1.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-9 Roasted Dandelion brew,yiyuan big leaf tea,11,g,$0.06,$0.66,0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-9 Roasted Dandelion brew,mate,21,g,$0.05,$1.09,0.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-9 Roasted Dandelion brew,filtered water,3000,g,$0.00,$0.30,97.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-13 Roasted Dandelion Flask,2022-12-30 Roasted Dandelion blend,12.7,g,$0.05,$0.60,3.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-13 Roasted Dandelion Flask,filtered water,373,g,$0.00,$0.04,96.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-14 Roasted Dandelion brew,2022-12-30 Roasted Dandelion blend,36,g,$0.05,$1.69,2.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-14 Roasted Dandelion brew,yiyuan big leaf tea,9,g,$0.06,$0.54,0.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-14 Roasted Dandelion brew,mate,9,g,$0.05,$0.47,0.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-14 Roasted Dandelion brew,Xingjian's mums dandelion & lavender tea,5,g,$0.30,$1.50,0.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-14 Roasted Dandelion brew,filtered water,1700,g,$0.00,$0.17,96.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15 Oat Soak,Oat Groats Certified Organic Bulk,300,g,$0.01,$3.00,13.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15 Oat Soak,Hulled Buckwheat Certified Organic Bulk,100,g,$0.01,$0.70,4.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15 Oat Soak,Brown Linseed Certified Organic Bulk,35,g,$0.01,$0.38,1.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15 Oat Soak,Raisins Certified Organic Bulk,50,g,$0.01,$0.75,2.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15 Oat Soak,Sunflower Kernels Australian Certified Organic Bulk,40,g,$0.02,$0.76,1.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15 Oat Soak,Dark Green Pepitas Austrian Certified Organic Bulk,25,g,$0.03,$0.75,1.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15 Oat Soak,Incaberries Certified Organic Bulk,21,g,$0.04,$0.84,0.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15 Oat Soak,filtered water,1728,g,$0.00,$0.17,75.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-15 Roasted Dandelion brew,2022-12-30 Roasted Dandelion blend,40,g,$0.05,$1.88,0.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-15 Roasted Dandelion brew,2022-12-30 No Caffeine blend,39,g,$0.05,$1.78,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-15 Roasted Dandelion brew,yiyuan big leaf tea,18,g,$0.06,$1.08,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-15 Roasted Dandelion brew,mate,39,g,$0.05,$2.03,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-15 Roasted Dandelion brew,certified organic black Ceylon tea,16,g,$0.06,$0.99,0.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-15 Roasted Dandelion brew,filtered water,4400,g,$0.00,$0.44,96.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-16 Roasted Dandelion brew,2022-12-30 Roasted Dandelion blend,30,g,$0.05,$1.41,0.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-16 Roasted Dandelion brew,2022-12-30 No Caffeine blend,27,g,$0.05,$1.24,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-16 Roasted Dandelion brew,yiyuan big leaf tea,12,g,$0.06,$0.72,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-16 Roasted Dandelion brew,mate,13,g,$0.05,$0.68,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-16 Roasted Dandelion brew,certified organic black Ceylon tea,13,g,$0.06,$0.81,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-16 Roasted Dandelion brew,filtered water,4073,g,$0.00,$0.41,97.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-22 Roasted Dandelion brew,2022-12-30 Roasted Dandelion blend,23,g,$0.05,$1.08,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-22 Roasted Dandelion brew,2022-12-30 No Caffeine blend,13,g,$0.05,$0.59,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-22 Roasted Dandelion brew,yiyuan big leaf tea,11,g,$0.06,$0.66,0.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-22 Roasted Dandelion brew,mate,6,g,$0.05,$0.31,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-22 Roasted Dandelion brew,filtered water,3250,g,$0.00,$0.33,98.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-23 Roasted Dandelion brew,2022-12-30 Roasted Dandelion blend,45,g,$0.05,$2.12,1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-23 Roasted Dandelion brew,2022-12-30 No Caffeine blend,29,g,$0.05,$1.33,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-23 Roasted Dandelion brew,yiyuan big leaf tea,19,g,$0.06,$1.14,0.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-23 Roasted Dandelion brew,mate,16,g,$0.05,$0.83,0.39%,3590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1-23 Roasted Dandelion brew,filtered water,3994,g,$0.00,$0.40,97.34%,reduced to approximately 3500,$1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
