Name,item,amount,unit,cost/unit,total cost,weight ratio,Notes,Combination 1,C1 Ratio,C1 Amount,,,,,,,,,,,,,,,Name,ingredient,weight,,,measurement,price per kilogram,brewing cost,notes,:Brew Archive,,Notes,,
2022-06-11 Brew kombucha in small jar,Rapadura Sugar,87,grams,$0.01,$0.78,10.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew kombucha in small jar,water,500,grams,$0.00,$0.22,57.80%,55 degrees Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew kombucha in small jar,2022-06-11 Brew,220,grams,$0.00,$0.39,25.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew kombucha in small jar,scoby,58,grams,$0.01,$0.58,6.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06 Brew,zest shikisso guji oromia Ethiopia washed filter roast,15,grams,$0.06,$0.90,16.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06 Brew,mountain top bundja coffee,23.5,grams,$0.04,$0.99,25.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06 Brew,April22Blend,27.2,grams,$0.07,$1.80,29.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06 Brew,2022Mar31PurchaseBlackTea,5.1,grams,$0.06,$0.31,5.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06 Brew,cacao nibs,12,grams,$0.02,$0.26,12.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06 Brew,lemon myrtle,1.1,grams,$0.20,$0.22,1.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06 Brew,ginger,9.2,grams,$0.05,$0.46,9.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Oat Milk Brew,Oat Milk,300,grams,$0.00,$1.35,51.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Oat Milk Brew,2022-06-06 Brew,283,grams,$0.05,$15.00,48.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Oat Milk Honey Brew,Honey,20,grams,$0.06,$1.20,6.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Oat Milk Honey Brew,2022-06-06 Brew,283,grams,$0.05,$15.00,93.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Brew,zest shikisso guji oromia Ethiopia washed filter roast,20.2,grams,$0.06,$1.21,1.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Brew,mountain top bundja coffee,37.5,grams,$0.04,$1.58,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Brew,April22Blend,45.1,grams,$0.07,$2.98,2.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Brew,2022Mar31PurchaseBlackTea,20.4,grams,$0.06,$1.22,1.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Brew,cacao nibs,21.8,grams,$0.02,$0.48,1.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Brew,lemon myrtle,1.3,grams,$0.20,$0.26,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Brew,ginger,25.5,grams,$0.05,$1.28,1.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 Brew,water,1700,grams,$0.00,$0.75,90.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-08 Brew,2022-06-07 Brew,1000,grams,$0.01,$5.21,84.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-08 Brew,oat milk,100,grams,$0.00,$0.45,8.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-08 Brew,turmeric honey,90,grams,$0.06,$5.40,7.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 Brew,water,3000,grams,$0.00,$1.32,92.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 Brew,ginger,110,grams,$0.03,$3.30,3.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 Brew,lemon myrtle,2.2,grams,$0.20,$0.44,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 Brew,April22Blend,73.4,grams,$0.07,$4.85,2.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 Brew,2022Mar31PurchaseBlackTea,27.8,grams,$0.06,$1.67,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 Brew,cacao nibs,30.8,grams,$0.02,$0.68,0.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19 Brew,water,4000,grams,$0.00,$1.76,93.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19 Brew,ginger,80,grams,$0.03,$2.40,1.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19 Brew,lemon myrtle,2.4,grams,$0.20,$0.48,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19 Brew,April22Blend,65.6,grams,$0.07,$4.34,1.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19 Brew,2022Mar31PurchaseBlackTea,21.9,grams,$0.06,$1.31,0.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19 Brew,cacao nibs,30.7,grams,$0.02,$0.68,0.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19 Brew,mountain top bundja coffee,80.7,grams,$0.04,$3.39,1.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 Brew,cacao nibs,56,grams,$0.02,$1.23,2.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 Brew,"las lajas, alajuela, Costa Rica",75.5,grams,$0.10,$7.25,3.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 Brew,April22Blend,65.5,grams,$0.07,$4.33,3.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 Brew,lemon myrtle,1.8,grams,$0.40,$0.72,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 Brew,dried ginger,20.6,grams,$0.13,$2.68,0.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 Brew,water,1700,grams,$0.00,$0.75,79.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 Brew,turmeric honey,65,grams,$0.06,$3.90,3.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 Brew,hunt and brew extra creamy milk,158,grams,$0.00,$0.51,7.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,black tea,225,grams,$0.06,$13.95,18.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,cinnamon quills,135,grams,$0.09,$12.55,11.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,licorice root,155,grams,$0.06,$8.99,12.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,fenugreek seeds,145,grams,$0.03,$3.91,11.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,dandelion root,225,grams,$0.08,$18.22,18.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,cardamom pods,125,grams,$0.20,$24.75,10.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,lemon grass,65,grams,$0.05,$3.51,5.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,star anise,60,grams,$0.13,$8.04,4.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July22Purchase,moringa leaf,75,grams,$0.07,$4.95,6.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,black tea,323,grams,$0.06,$20.02,22.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,cinnamon quills,106,grams,$0.09,$9.86,7.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,licorice root,113,grams,$0.06,$6.55,7.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,fenugreek seeds,152,grams,$0.03,$4.10,10.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,dandelion root,226,grams,$0.08,$18.30,15.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,cardamom pods,100,grams,$0.20,$19.80,7.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,lemon grass,107,grams,$0.05,$5.78,7.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,star anise,48,grams,$0.13,$6.43,3.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,moringa leaf,66,grams,$0.07,$4.36,4.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
